Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/7/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
World,WLD,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98665E+11,4.20283E+11,4.20275E+11,4.25128E+11,4.4662E+11,4.56473E+11,4.49257E+11,4.73651E+11,5.32413E+11,6.18391E+11,6.67122E+11,7.06937E+11,8.18585E+11,8.8867E+11,8.15553E+11,8.80221E+11,9.69962E+11,1.02033E+12,1.09859E+12,1.25555E+12,1.19878E+12,1.20967E+12,1.31328E+12,1.40689E+12,1.40369E+12,,,,,,
World,WLD,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.124913078,8.395245593,8.147613849,8.07360196,7.664959903,7.050339065,7.036597974,6.953133807,6.459198715,6.341235595,6.444208714,6.016357624,5.954914143,5.721472976,6.500394228,6.045774348,5.771962258,5.844019661,6.133612115,6.388752158,7.020509339,7.217591278,7.131175597,7.058711627,7.392242585,,,,,,
World,WLD,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52305925,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Rural population (% of total population),SP.RUR.TOTL.ZS,65.76642872,65.48905986,65.60002088,65.44314548,64.85238396,64.64583169,64.41946946,64.18679924,63.96304445,63.74685694,63.55349312,63.34651428,63.11846042,62.83723388,62.59207131,62.3023879,62.00591327,61.70581185,61.35990238,60.86598284,60.52035325,60.13142097,59.84701914,59.43198909,58.94214008,58.60910351,58.24769032,57.88844047,57.59865662,57.33412541,57.16787278,56.8334325,56.55066836,56.27303894,55.98368526,55.68719964,55.19586741,54.6971361,54.19830242,53.70722663,53.16014468,52.69501028,52.17375202,51.63613083,51.13410683,50.64128547,50.12773707,49.58453354,49.11985671,48.62625363,48.2401875,47.54170359,47.08213263,46.56659877,46.09092899,45.57415254,45.10507356,44.68016608,44.24792222,43.85901744,43.55582406,43.1907773,42.92774586,42.68830839,42.43439971,42.17488419
World,WLD,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.74560768,,,,,,,,72.31243595,,,,,,,
World,WLD,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Population, female",SP.POP.TOTL.FE.IN,1513820981,1534381360,1561411311,1594335334,1627502886,1661023393,1695788297,1730526093,1766142119,1802900987,1840496080,1879243381,1916689708,1954385184,1991938572,2028847493,2065288631,2101501054,2138391206,2176304899,2214488478,2253475176,2294182341,2335306926,2376360127,2418224216,2461097051,2505000054,2549386512,2593939831,2638729778,2682403225,2726053460,2768962683,2811509788,2854310971,2897180368,2939852526,2981949459,3023389604,3064403263,3105303232,3145958318,3186455917,3227286681,3268213619,3309624643,3351182236,3393641480,3436344281,3478478710,3520696876,3564707965,3608279533,3651710747,3694735185,3737779128,3780539277,3821941687,3862597121,3901339008,3935187241,3970177260,4008126120,4047858202,4085748274
World,WLD,Population growth (annual %),SP.POP.GROW,,1.356155386,1.767127905,2.116767043,2.088121289,2.061802516,2.089002662,2.041260312,2.050133606,2.077565429,2.080998663,2.097712357,1.99746368,1.978527218,1.930196563,1.857968965,1.797751365,1.754417184,1.753864648,1.773027352,1.762895408,1.771697554,1.812064662,1.795949594,1.758590501,1.761241963,1.77704145,1.792668832,1.777084705,1.752798358,1.743441777,1.670103504,1.631318478,1.587461525,1.535033769,1.504773691,1.490229972,1.463772076,1.43761681,1.397312812,1.363769714,1.341457701,1.311380089,1.290497687,1.286703939,1.271166455,1.271287766,1.261074462,1.267595325,1.252537388,1.217112172,1.218736316,1.258894159,1.231469217,1.205676634,1.183586843,1.164219506,1.130206432,1.076056767,1.047008353,0.981397901,0.833112789,0.867263337,0.926690596,0.962423717,0.911303701
World,WLD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.052806132,1.052601947,1.053733026,1.054210415,1.053958413,1.053960193,1.054052117,1.054008165,1.054349557,1.054488556,1.054982562,1.054728959,1.054993232,1.054921618,1.055299809,1.05558138,1.056105035,1.056135356,1.056315004,1.056390942,1.056729758,1.057555189,1.057698634,1.058046112,1.05873771,1.059553228,1.060941102,1.062872185,1.064385825,1.065247344,1.067071865,1.06846067,1.069651409,1.071620891,1.073484695,1.074753144,1.075552197,1.076213453,1.076377258,1.076109715,1.07637453,1.075512421,1.074361697,1.073678215,1.074031232,1.073772122,1.073114049,1.07287455,1.072519419,1.072096781,1.071577196,1.072116904,1.071912169,1.069900896,1.069623671,1.067439354,1.067581683,1.065000549,1.064315945,1.063163673,1.058613057,1.056877541,1.056123337,1.055556917,1.05483751,
World,WLD,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1.00667975,1.017007591,1.029273973,1.04540933,1.060265682,1.063826627,1.063161261,1.063402763,1.063428634,1.066039181,1.07574976,1.091112262,1.10827959,1.123379536,1.137950584,1.159446766,1.185351114,1.211104669,1.238292452,1.265105621,1.28431834,1.298142302,1.313207252,1.329277653,1.346438654,1.362077484,1.372595744,1.382970485,1.393541695,1.400708907,1.400198292,1.382916827,1.353488977,1.32230075,1.310606152,1.323596301,1.354557662,1.401293092,1.453126512,1.499557279,1.532594711,1.556898205,1.577945629,1.599891171,1.619732,1.635129855,1.649129247,1.661717271,1.668820999,1.673523916,1.683551786,1.699175338,1.720108422,1.742245127,1.762768014,1.779455144,1.791520184,1.795551318,1.793883235,1.793735231,1.794796538,1.813713205,1.869916459,1.951659037,2.048874996,2.162999465
World,WLD,"Population ages 65 and above, total",SP.POP.65UP.TO,150168529,152819501,156196505,159979456,163960698,168529640,173424106,178418200,183591930,188862918,194329801,200032662,205834808,211876732,218189796,224666452,231070827,237644669,244529599,251531558,257704294,262546768,266862831,271195124,276232970,282481502,289476442,296867663,304713491,313109109,321815413,330732744,340149435,349982796,360152763,370240693,380141480,390296945,400549327,410728660,421192302,432160927,443471914,454815236,466080479,477353580,488748319,499684451,509949228,520119995,530684300,543069886,558684257,575584324,594043057,614515164,636064624,658993398,683127457,708171398,732912768,754562309,778023669,804797257,830519148,854604026
World,WLD,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,85869279,87574613,89659025,91976433,94394882,97181246,100152448,103126369,106195690,109315840,112535632,115923331,119387106,122979450,126744729,130608113,134434659,138374292,142496952,146657463,150341027,153258055,155838921,158440079,161454785,165118569,169174850,173445267,177975001,182761683,187621926,192533358,197636721,202896123,208334071,213690660,218903575,224275360,229667915,234986071,240479398,246271110,252251419,258258916,264280302,270336978,276427320,282233919,287645269,293001618,298587017,305131318,313404965,322377263,332260673,343265876,354890636,367313467,380394822,393944792,407516299,419564372,432434028,447085602,461267192,474556383
