source_file,year,objective,donor,recipient_scope,sector_scope,allocable_scope,marker,amount_type,unit,principal,significant,screened_not_targeted,not_screened,climate_targeted_total_usd_millions_2019,all_screened_total_usd_millions_2019
2016Adaptation.xls,2016,Adaptation,Netherlands,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",40.388836,594.677462,2145.71845,,635.066298,2780.784748
2016Adaptation.xls,2016,Adaptation,New Zealand,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",8.521194,16.642669,334.293984,,25.163863,359.457847
2016Adaptation.xls,2016,Adaptation,Norway,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",28.811088,67.489247,2444.338581,,96.300335,2540.638916
2016Adaptation.xls,2016,Adaptation,Poland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",0.29059,1.082466,156.139333,,1.373056,157.51238899999998
2016Adaptation.xls,2016,Adaptation,Portugal,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",0.496129,1.30752,138.15687,,1.803649,139.960519
2016Adaptation.xls,2016,Adaptation,Slovak Republic,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,0.064489,24.497676,0.794714,0.064489,25.356878999999996
2016Adaptation.xls,2016,Adaptation,Slovenia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,1.152339,4.896746,8.784305,1.152339,14.83339
2016Adaptation.xls,2016,Adaptation,Spain,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",12.531552,60.089951,540.467296,0.062824,72.621503,613.151623
2016Adaptation.xls,2016,Adaptation,Sweden,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",143.19275,461.581771,1376.881555,185.440175,604.774521,2167.096251
2016Adaptation.xls,2016,Adaptation,Switzerland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",40.332218,163.842604,1341.645563,,204.174822,1545.820385
