"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AZE","Azerbaijan",42.2010991416182,42.0312303184226,42.6585395209498,43.0155319030531,42.950428641561,42.9981276755173,43.7778583636298,45.9101206414657,45.9955786141295,46.5986926481149,46.9949187195654,44.9180923912137,45.0165906526241,44.9747629882435,46.8521872674837,46.2100443629511,46.5669236262789,46.4630602175552,47.6281158192816,48.8926363849862,49.5824481650511,50.6034588210826,49.9815382888595,50.1619502838451,51.3404243213972,50.9670612466022,51.1285138371784,49.2299030484525,49.6965983005212,50.1378103917525
"BHS","Bahamas",47.7738116949838,47.8103263205869,48.507719470732,48.6161827956635,48.636801075844,48.7889103540792,49.0062498512106,49.404462585123,49.3581589824049,49.097250203462,50.7923597728473,53.939307584325,54.1577058954354,49.4531953599368,48.920229141771,48.982343280947,49.1134290744667,50.6999891258666,50.3715080577847,50.2751245046614,49.8839579916471,49.7154587671327,49.2530992126105,49.2362589226624,49.5385760594377,49.1405297017271,49.1570100332636,48.5738837362042,48.7145993395335,48.7101343269962
"BHR","Bahrain",43.3774856724992,43.2721706567508,43.6527991654189,44.0492346670905,44.3301645685646,44.5799180109758,45.2133511040197,45.8153227809076,45.6920760112442,45.6650386327966,46.303394984012,49.6634888464346,50.4080554718482,47.4292292918225,47.7867938247129,47.5834409623304,47.8679758405962,48.0007575097955,48.018039389795,48.3564027136748,48.742487761632,48.1026393092945,47.950462705629,47.9771209494257,48.1965970234207,49.536232094576,50.1422712302643,47.7492582047294,48.0238305900434,48.3281316259196
"BGD","Bangladesh",37.1180896965022,37.1782095140858,36.9396374796851,37.4441643919348,37.2879216079048,37.1655847396859,36.8195966733751,36.7026333389242,36.6945459554989,36.6679890728872,37.7641853010165,41.7264240593833,41.9017606438251,42.6389939256906,42.8894671998515,44.1188526738561,44.2985373845535,44.395788935139,44.3874781886617,33.892156623931,34.4181242482724,35.3519209011609,35.5632428632256,35.9653605548166,36.077920953614,36.3259209389084,36.278112682345,38.1769470048453,38.3867713304216,37.0371901896596
"BRB","Barbados",52.1225159790822,52.1474102216683,52.2727998882796,52.4582290548679,52.707764562621,53.2036895729173,53.2193347780831,52.8044165939453,53.1478970046922,53.4779905020728,55.2003477116109,58.4507130164097,58.816399724587,59.1828974461171,58.4180157398201,59.3979241968766,60.0673740902471,54.4331690390245,54.6192356453483,53.8338431766566,53.8792620088767,53.2273452495437,53.5762731400202,55.4623039544861,56.1062706699417,56.6919905201665,59.306304214038,58.5611578777016,58.3589388241453,58.6197695611597
"BLR","Belarus",48.6925711777523,49.0975895351613,49.2420390554067,49.8562204306927,49.7878665788566,49.3945235857686,49.5789913800104,49.6386381149648,50.6292154657295,51.0689079165651,51.175925013246,48.2032495818776,49.1907073384183,50.3136398515547,52.4840800159604,52.4720573597794,53.1548072005696,54.6348717805023,54.6821552104001,54.2271836690058,54.1662260402181,54.9226833392303,56.1105374945981,56.2537486009765,57.8140679267688,56.5993419525995,56.3872014430811,54.1430627564634,54.1162715066389,53.9591056271048
"BEL","Belgium",57.0928412040971,57.3064722844403,57.1789588131367,56.7127844859046,56.8052919169687,57.2280081181773,57.3782238566254,57.9056967578953,57.6668157109506,57.6852885273478,57.6999494105256,58.8495368033795,59.0994911533211,59.2905907028305,59.7387508280172,59.1547078187676,59.4301581805944,59.8099891827431,60.124412635394,60.9652821538703,61.1744102464779,61.1783731763228,60.8215260061096,60.3578889280254,60.4641913262987,60.8269039530154,61.0483425387405,61.7882555494008,62.0583209290517,61.9666701999904
"BLZ","Belize",42.8435967939295,43.2776967224181,43.0239149025793,43.263882585872,43.3231182290884,43.7060921980082,43.690464145075,44.5480062490929,44.5857338020886,43.4649836577492,44.9720600985338,42.0265994369776,41.9613621678717,42.3059913205886,42.4753951811217,42.3535605042015,41.9346361165288,42.0693102993241,42.6231798373317,41.6043613718847,42.2585805527163,42.6815196298058,42.7355034472444,42.6286174226662,42.3966428552035,42.7056378978573,42.4319941270251,43.2648300161936,43.9934588567001,44.1644599866962
"BEN","Benin",38.0089621351332,37.8642977541588,37.8820239501999,37.9073269240354,37.7902295483981,37.7302762301435,37.3131666345095,37.108313879656,37.3204555999366,37.434828982635,36.8846761268776,36.039461402735,36.394318041672,35.7530611281929,35.2257037405947,34.0477007652165,34.2892119719751,34.1863958005055,34.8380898760392,34.839515542107,35.9584958582413,36.0751294608689,36.6465664440714,37.3116613215453,37.2517111123109,37.7603937063186,37.4971260693283,39.5384309698331,39.6484400503555,39.424476659533
"BTN","Bhutan",40.5261087207619,40.4885414671599,40.4749503899571,40.4747534298042,40.4253794513279,40.3682122691045,39.9022687437622,40.5990341610736,41.588692328196,40.7196680165084,41.6855472752874,39.9503371099632,41.5159461021442,42.6225212795791,42.5201367501127,41.9887740016439,42.0487921875676,42.374432289714,42.7721564439614,44.349383217016,44.979497287471,46.556770597423,46.8435335716564,47.4457535010169,47.5627359652086,47.5039381362496,46.5657876149056,43.5160226311244,44.1304261483535,44.3071309860562
"BOL","Bolivia, Plurinational State of",41.0637142462425,41.2434866838096,41.6207610845554,41.8334394126061,41.4890554133517,41.0454203135117,41.1828094669061,40.8718089734286,40.8948852958726,41.6058524156435,40.199821004837,39.8217086021593,40.0668820730313,40.0423283971149,40.3766118412253,40.6776843476043,40.7865658933948,40.456346344495,40.8218566115037,40.7485040039056,40.6119014980148,41.1803479475483,41.7590252937446,41.8009988666956,41.4238450533864,41.7220439482848,41.5111894856769,43.0404662670466,43.2455066784278,42.9377818523054
"BIH","Bosnia and Herzegovina",44.8182142923893,44.9765495390786,45.2226268706637,45.2449356779911,45.3655884189528,45.4672266414067,46.3730443542609,46.732180783975,46.7627380247319,47.2449077398376,46.9263993507958,46.172133177348,46.2970820647469,46.7806840576462,46.7719727724139,46.7210693833564,47.1877201464539,47.8472387546069,48.6850439248087,49.7245746354214,49.1060466646442,49.4088894561535,49.5586929316316,49.6775189890706,49.1273458043497,49.2073342028555,49.2751486764813,50.3484229085791,50.5617814000247,49.9908399578699
